Unique ID,Date,URL,Page title,Lang,What's wrong,Details,Tags,Info exists,Actionable,PII
05/20-0209,"13 May, 2020 12:17",,Prevention+risks,FR,,ou m inscrire por aider au personel,Feedback unclear,,,
05/20-0210,"13 May, 2020 12:58",,Symptoms,FR,,Lieu où je peux me rendre pour vérifier si je suis atteint,Testing,,,
05/20-0212,"13 May, 2020 13:12",,Prevention+risks,EN,The answer I need is missing,can my son come to my house,"Permissible activities,Family relationships",,,
05/20-0213,"13 May, 2020 13:45",,Symptoms,FR,The answer I need is missing,"Comment peut-on avoir la Covid-29 si pas de température , juste maux de gorge et?",Symptoms,,,
05/20-0214,"13 May, 2020 13:54",,Prevention+risks,EN,The answer I need is missing,Who qualifies for the senior package for covid 19,Financial support,no,,
05/20-0215,"13 May, 2020 13:57",,Prevention+risks,EN,Other reason,Is there responses for people who have underlying conditions who's partners are front line workers?,Vulnerable people,,,
05/20-0217,"13 May, 2020 14:36",,Prevention+risks,EN,The answer I need is missing,I'm trying to find out if I should wear gloves to the grocery or drug store.,PPE,,,
05/20-0218,"13 May, 2020 14:38",,Prevention+risks,EN,,New cases in ontario,Cases - deaths - recoveries,,,
05/20-0219,"13 May, 2020 14:49",,Symptoms,EN,,"My sister has tested positive and works at long term care. She has followed all the proper guide lines. She has tester fore more time and is still positive. They have called her to say her case is closed. She has not seen her test and is scared to go back to work, she is scared that she can spread",Workplace,,,
05/20-0220,"13 May, 2020 15:25",,Symptoms,FR,,Que doit-on faire après la quarantaine. Peut-on sortir de la chambre. ON n'a aucun symptôme. Comment doit-on vivre à la maison. Trois personnes chez moi sont testée positive et je suis le seul à ne pas passer le test et je n'ai aucun symptôme,Quarantine and isolation,,,
05/20-0221,"13 May, 2020 15:52",,Symptoms,EN,,Does corvid19 always start in the nasal passage and is that why they swab the nose,Course of illness,,,
05/20-0222,"13 May, 2020 15:57",,Symptoms,EN,The answer I need is missing,When do you know you are free from the virus..have had a positive negative then 2 days after positive test self isolation for 14 days before 1st positive started April 3 and have had no contact except for testing at hospital ..still in isolation.,Quarantine and isolation,,,
05/20-0223,"13 May, 2020 16:07",,Symptoms,EN,,What is covid 19,What is covid,,,
05/20-0224,"13 May, 2020 16:14",,Prevention+risks,EN,The answer I need is missing,What is the process for someone requested to come back to site after being off since the start of the essential personel only,Workplace,,,
05/20-0225,"13 May, 2020 16:27",,Prevention+risks,EN,,Help for people with disabilities,Vulnerable people,,,
05/20-0226,"13 May, 2020 16:41",,Prevention+risks,FR,,Question??? Est-ce qu’un employeur a le droit de me rappeler pour entrer au travail si j’ai 70 ans Merci,Workplace,,,
05/20-0227,"13 May, 2020 16:58",,Prevention+risks,FR,The answer I need is missing,admissibilité PCUE,Financial support,,,
05/20-0228,"13 May, 2020 17:10",,Prevention+risks,EN,,want to make contact with grandchildren,"Permissible activities,Family relationships",,,
05/20-0229,"13 May, 2020 17:22",,Symptoms,EN,The answer I need is missing,what treatment should be used to treat the coronavirus in patient recovering at home? Is there anything in particular,Treatment,,,
05/20-0230,"13 May, 2020 17:41",,Symptoms,EN,,I was looking for my results from corn-19 testing done over a week ago..Catherine may baptie,Feedback unclear,,,
05/20-0231,"13 May, 2020 17:46",,Symptoms,FR,,Aucun symptôme mais j aimerais passer le test pour être plus sur,Testing,,,
05/20-0233,"13 May, 2020 17:56",,Symptoms,EN,The answer I need is missing,"You need to update your symptom list like Alberta’s and pneumonia is not a symptom, but a diagnosis or condition.",Symptoms,,,
05/20-0234,"13 May, 2020 18:03",,Symptoms,FR,The answer I need is missing,Délai pour symptômes après avoir reçu des gouttelettes,Symptoms,,,
05/20-0235,"13 May, 2020 18:13",,Prevention+risks,EN,,Is there any emergency benefit for cpp disability pensioners,Financial support,,,
05/20-0236,"13 May, 2020 18:15",,Prevention+risks,EN,The answer I need is missing,What are the regulations for travelling to and from Provinces.,Travel within Canada,,,
05/20-0237,"13 May, 2020 18:25",,Symptoms,EN,The answer I need is missing,Is there and cure for the corona? just wondering hope you have a great day,"Vaccine,Cure",,,
05/20-0239,"13 May, 2020 18:42",,Prevention+risks,EN,The answer I need is missing,trying to find out if I am under a quarantine order,Quarantine and isolation,,,
05/20-0240,"13 May, 2020 18:50",,Symptoms,FR,The answer I need is missing,Médicaments de soulagemente,Treatment,,,
05/20-0242,"13 May, 2020 19:51",,Symptoms,EN,,Where can I find out my test results,Testing,,,
05/20-0243,"13 May, 2020 19:53",,Prevention+risks,EN,The answer I need is missing,Seasonal camping in Nova Scotia. Is it acceptable to travel 2 hours to get to seasonal lot just for the weekend,"Permissible activities,Camping",,,
05/20-0244,"13 May, 2020 20:04",,Symptoms,EN,,"I can smell a smokers smoke from over 20 feet away. Covid does not smell but travels in the air. Can I breathe in the virus from 20 feet away and if so, what kink of a mask should I were to prevent myself from getting covid.",Transmission,,,
05/20-0245,"13 May, 2020 20:18",,Symptoms,FR,The answer I need is missing,"Si je suis atteinte et que j’habite seule avec mon fils, comment puis- je évite de le contaminer tout en continuant repas, ménage...","Treatment,Treating at home",,,
05/20-0246,"13 May, 2020 20:27",,Prevention+risks,EN,The answer I need is missing,What is the percentage of positive COVID cases that have been determined to be asymptomatic?,Cases - deaths - recoveries,,,
05/20-0248,"13 May, 2020 17:44",,Prevention+risks,EN,The answer I need is missing,"I was looking for info about how long a person is contagious after having contracted COVID-19. Many people they are no longer at risk after having the anti-bodies, but what about infecting other people? Can you catch the virus again if it has mutated?",Contagious,,,
05/20-0249,"13 May, 2020 17:44",,Prevention+risks,EN,The answer I need is missing,"I was looking for info about how long a person is contagious after having contracted COVID-19. Many people they are no longer at risk after having the anti-bodies, but what about infecting other people? Can you catch the virus again if it has mutated?",Virus mutation,no,,
05/20-0250,"13 May, 2020 18:15",,Prevention+risks,EN,The answer I need is missing,Will cpp disability pensioners recieve money for emergency response,Financial support,,,
05/20-0251,"13 May, 2020 17:51",,Symptoms,FR,,Article scientifique sur le covid 19,Feedback unclear,,,
05/20-0252,"13 May, 2020 21:23",,Symptoms,EN,,airborne virus,Feedback unclear,,,
05/20-0253,"13 May, 2020 21:25",,Prevention+risks,FR,,Sera-t-il permis à un home de 80 ans de jouer au golf à partit du 20 mai?,"Permissible activities,Golf",,,
05/20-0254,"13 May, 2020 22:33",,Symptoms,FR,,douleur et diaree,Feedback unclear,,,
05/20-0255,"13 May, 2020 22:57",,Symptoms,FR,I’m not in the right place,Ou passer un test du covid-19,Testing,,,
05/20-0256,"13 May, 2020 22:59",,Prevention+risks,EN,,I need to know if my employer has the right to hide the name of an infected coworker.,Workplace,,,
05/20-0257,"13 May, 2020 23:00",,Prevention+risks,EN,The information isn’t clear,Can 5 people talk to each other outside while maintaining social distancing?,"Permissible activities,Social contact",,,
05/20-0258,"13 May, 2020 23:08",,Symptoms,FR,The answer I need is missing,"D'où vient le nom ""COVID-19""",What is covid,,,
05/20-0260,"13 May, 2020 23:18",,Prevention+risks,EN,I’m not in the right place,Been in isolation for 2 months is it all right to go out. Am 83 yrs. Old average health..,Vulnerable people,,,
05/20-0263,"13 May, 2020 23:31",,Symptoms,EN,The answer I need is missing,all symptoms of coronavirus,Symptoms,,,
05/20-0264,"14 May, 2020 00:18",,Prevention+risks,EN,,How many cases of coronavirus in Toronto as may 13,Cases - deaths - recoveries,,,
05/20-0265,"14 May, 2020 00:53",,Prevention+risks,EN,,"I need to find a place for my family member to self isolate, he is returning from two month at Russia through Frankfort.",Travel from outside Canada,,,
05/20-0266,"14 May, 2020 01:01",,Prevention+risks,EN,,I have a friend that her child has been living with her father for the last 2 months during this pandemic and now the child is with her mother. Can the mother take her out visiting to her friends house or does the child have to isolate. The child is coming from a high case city,Quarantine and isolation,,,
05/20-0267,"14 May, 2020 01:18",,Symptoms,EN,,All the symptoms,Symptoms,,,
05/20-0268,"14 May, 2020 01:40",,Prevention+risks,EN,,Is it true that wearing mask is now a law?,PPE,,,
05/20-0269,"14 May, 2020 01:57",,Symptoms,EN,Other reason,whay does a carona virus do to a human body?,Course of illness,,,
05/20-0271,"14 May, 2020 02:11",,Symptoms,FR,The answer I need is missing,Quoi faire si on a le corona virus,Treatment,,,
05/20-0272,"14 May, 2020 03:07",,Symptoms,FR,Other reason,mesure de désinfection pour l'ouverture des garderies,Cleaning,,,
05/20-0273,"14 May, 2020 03:11",,Symptoms,EN,The answer I need is missing,"you should not put title ""treating"", since you provide zero information about it",Treatment,,,
05/20-0274,"14 May, 2020 03:29",,Prevention+risks,FR,The answer I need is missing,Je voudais porter une visiere dental acheter sur internet au lieu du masque est ce aussi efficace,PPE,,,
05/20-0275,"14 May, 2020 05:11",,Symptoms,EN,The answer I need is missing,"how do you treat Covid 19 related symptoms?e.g. what cough medication to use, for diarrhea is it OK to use anti-motility agent or just electrolyte replacement, etc.","Treatment,Treating at home",,,
05/20-0276,"14 May, 2020 10:51",,Symptoms,FR,The answer I need is missing,Je veux savoir les premiers symptômes,Symptoms,,,
05/20-0277,"14 May, 2020 10:53",,Prevention+risks,EN,The answer I need is missing,I was looking for a clear list of necessary precautions to take to avoid infection,Avoid infection,,,
05/20-0278,"14 May, 2020 11:39",,Symptoms,FR,The answer I need is missing,"Hier aux questions réponses de TVA nouvelles vers 20 h Dr.Laurie Robichaud il expliquait la différence entre positif et détecté lors du résultat . Pourrais je avoir le reportage svp, Merci",Testing,,,
05/20-0279,"14 May, 2020 12:43",,Prevention+risks,FR,The answer I need is missing,"J'ai besoin de ma famille pour déménagé, combien de personnes puis-je prendre","Permissible activities,Moving",,,
05/20-0280,"14 May, 2020 13:23",,Prevention+risks,EN,The answer I need is missing,Definition of Close Contact,"Terminology,Close contact",,,
05/20-0282,"14 May, 2020 13:48",,Symptoms,EN,The answer I need is missing,That’s a very incomplete list of possible symptoms.,Symptoms,,,
05/20-0283,"14 May, 2020 14:05",,Prevention+risks,EN,,"I have heard that wearing a mask in public is now mandatory, is this information correct?",PPE,,,
05/20-0284,"14 May, 2020 14:50",,Prevention+risks,EN,The answer I need is missing,"Can I take a family member not living with me, shopping when needed?","Permissible activities,Shopping with other people",,,
05/20-0285,"14 May, 2020 14:53",,Prevention+risks,EN,Other reason,Can I go out to hang out with my boyfriend?,"Permissible activities,Family relationships",,,
05/20-0287,"14 May, 2020 15:28",,Prevention+risks,FR,The answer I need is missing,Est-ce une bonne idée de porter des gants?,PPE,,,
05/20-0288,"14 May, 2020 15:29",,Prevention+risks,EN,The answer I need is missing,i would like to know what is opening and when,Reopening,,,
05/20-0289,"14 May, 2020 15:37",,Symptoms,FR,The answer I need is missing,Bonjour J'ai mon père de 91 ans qui c'est présenté à l’hôpital pour traitement maladie aucun rapport au covid il est rester à l’hôpital environ 5 hrs et il l'on remis en 14 jours confinement. Il venais juste de pouvoir sortir. Je trouve cette situation anormale il est en grosse dépression.,Quarantine and isolation,,,
05/20-0290,"14 May, 2020 16:01",,Symptoms,EN,,I want to know where the tests of the covid 19 are carried out,Testing,,,
05/20-0292,"14 May, 2020 16:11",,Prevention+risks,FR,The answer I need is missing,exactement sur quelle surface (carton plastique....) survit le virus combien de jours,Virus survival,,,
05/20-0293,"14 May, 2020 16:16",,Symptoms,EN,The answer I need is missing,Other website have stated that if you develop a rash it could be considered a symptom. What kind of rash?,Symptoms,,,
05/20-0294,"14 May, 2020 16:41",,Prevention+risks,EN,,Seniors covid19 that the Priemier annouced last Tuesday? how to appy for it?,"Financial support,Vulnerable people",,,
05/20-0295,"14 May, 2020 16:55",,Prevention+risks,FR,The answer I need is missing,si j'amene une personne qui est assise en arriere de ma voiture coté droit pour un rendez-vous médicale suis je légal,"Permissible activities,Medical appointment",,,
05/20-0296,"14 May, 2020 17:11",,Prevention+risks,FR,,C'est quand les vétérinaire vont ouvrir leurs cliniques pour les vaccins pour les griffes et autres soins. La comme c'est là il sont ouverts pour les soins urgent,Workplace,,,
05/20-0298,"14 May, 2020 17:22",,Prevention+risks,EN,The answer I need is missing,If my employer is making it mandatory to wear a mask and have a health condition requiring me not to is this illegal?,PPE,,,
05/20-0299,"14 May, 2020 17:23",,Prevention+risks,FR,Other reason,"Après 14jours pas guérit, que faire ?",Course of illness,,,
05/20-0300,"14 May, 2020 17:24",,Prevention+risks,EN,,"Can 5 sisters, who do not reside in the same residence have a sleep over?","Permissible activities,Social contact",,,
05/20-0302,"14 May, 2020 17:31",,Prevention+risks,EN,,"I returned to work last week and symptoms occurred after work on Saturday , took test and self isolation for 9days until results,wondering about benefits for the week in isolation",Workplace,,,
05/20-0303,"14 May, 2020 17:54",,Symptoms,EN,Other reason,"Information is too brief, lacks detail",Symptoms,,,
05/20-0304,"14 May, 2020 17:55",,Prevention+risks,FR,The answer I need is missing,Est ce que quelqu'un qui a eu le COVID-19 et qu'il est guéri peut l'attraper de nouveau? peut-il le transmettre si en contacte de nouveau avec le virus?,Immunity,,,
05/20-0305,"14 May, 2020 18:12",,Symptoms,FR,The answer I need is missing,"Moi je voulais savoir si je pouvais faire une demande peu urgence,car moi quand il ont donner aux gens qui travaillait moi j'ai rien reçu car j'était arrete travail cause chururgie mais j'étais supposé de retourner aux travail le 30 mars mais vue la covid19",Feedback unclear,,,
05/20-0307,"14 May, 2020 18:20",,Prevention+risks,EN,,How long does the virus stay on surfaces?,Virus survival,,,
05/20-0308,"14 May, 2020 18:40",,Symptoms,EN,The answer I need is missing,"They did not say what ""specific"" symptoms to watch for.",Symptoms,,,
05/20-0311,"14 May, 2020 00:27",,Symptoms,EN,The answer I need is missing,Can you have symptoms that come and go.,Symptoms,,,
05/20-0313,"14 May, 2020 04:53",,Symptoms,EN,The answer I need is missing,Looking for lots of all suspected side effects of covi19,Symptoms,,,
05/20-0316,"14 May, 2020 19:43",,Prevention+risks,EN,The answer I need is missing,I need to know if someone who’s been in contact with someone who travelled has to self isolate,Quarantine and isolation,,,
05/20-0317,"14 May, 2020 19:57",,Symptoms,FR,The answer I need is missing,Combien de jours Peut durer les symptômes?,Course of illness,,,
05/20-0318,"14 May, 2020 20:06",,Prevention+risks,EN,The answer I need is missing,"Our daughter lives in her home but wants to come to our home for an overnight stay, is this allowed","Permissible activities,Social contact",,,
05/20-0319,"14 May, 2020 20:12",,Symptoms,EN,The answer I need is missing,I’m sick but haven’t been tested. I have self isolated since day one as I have an underlying lung condition. If I’m already staying home and out of contact do I just wait and hope to feel better or is there something else I should be doing?,Treatment,,,
05/20-0320,"14 May, 2020 20:16",,Symptoms,FR,The answer I need is missing,bonjour si je demeure avec ma mère de 73 ans et que je travail dans le commerce de détail doit-je y retourné ou non ?,Workplace,,,
05/20-0322,"14 May, 2020 20:46",,Symptoms,EN,Other reason,Please don't wait for symptoms of breathing. Early intervention can save your ventilators and the bonus for the CEO's,Treatment,,,
05/20-0323,"14 May, 2020 20:59",,Symptoms,EN,,Isolation place,Quarantine and isolation,,,
05/20-0324,"14 May, 2020 21:06",,Prevention+risks,FR,The answer I need is missing,J ai 64 ans j ai 3 stands pour les artères bloqué je prends des médicaments pour le coeur et pour le diabète j ai déjà eu un cancers de la vessie je fait du service a domicile est ce que je devrait cesser ce travail je crains pour ma santé,Workplace,,,
05/20-0326,"14 May, 2020 22:11",,Symptoms,EN,,I think I have corona,Feedback unclear,,,
05/20-0327,"14 May, 2020 22:13",,Symptoms,FR,Other reason,Je travaille construction le virus peut-il enter par une coupures mêmes légères,Workplace,,,
05/20-0328,"14 May, 2020 23:09",,Prevention+risks,EN,,"I'm 69 years old and husband 73, we HAD a housekeeper before Covid19, now my husband wants her to be able to come clean for us again. Our immune systems are compromised so I'm not sure if this would be allowed",Vulnerable people,,,
05/20-0329,"14 May, 2020 23:16",,Symptoms,EN,,What are symptoms of the virus,Symptoms,,,
05/20-0332,"15 May, 2020 00:38",,Symptoms,EN,The answer I need is missing,Runny nose has nothing to do with covid eh?,Symptoms,,,
05/20-0333,"15 May, 2020 01:06",,Prevention+risks,EN,The answer I need is missing,"In a clothing retail facility, can the virus be passed on to a garment that someone has tried on and then passed on to the next person trying it on?",Transmission,,,
05/20-0334,"15 May, 2020 01:15",,Prevention+risks,EN,The answer I need is missing,Can we visit with others yet?,"Permissible activities,Social contact",,,
05/20-0335,"15 May, 2020 01:30",,Prevention+risks,EN,The answer I need is missing,Do I have to change my clothes and shoes when I come home?,Transmission,,,
05/20-0337,"15 May, 2020 02:17",,Symptoms,FR,,Je veux rembourser du pcu que j’ai reçu en trop car recommencer à travailler temps plein,Financial support,,,
05/20-0339,"15 May, 2020 02:58",,Prevention+risks,EN,Other reason,Protecting seniors from cov19,Vulnerable people,,,
05/20-0340,"15 May, 2020 03:34",,Prevention+risks,EN,,"14day quarantine,. Support,. As you can’t go public like bank or going to the store for cleaning supplies",Quarantine and isolation,,,
05/20-0341,"15 May, 2020 03:45",,Prevention+risks,EN,Other reason,"To Display is not readable and used too mush space and style for reading on a computer monitor screen, Also light blue used for text is almost imposable to photo capture on a average celpone as a camera image for later reading. Please use black.",Design issue,,,
05/20-0344,"15 May, 2020 04:53",,Prevention+risks,EN,The information isn’t clear,"Confusing use of Quarantine, or self isolating versus the more restrictive Isolating per this website. Quarantine should be the more restrictive situation and mean total isolation. That aside, under self isolating can one eat with their family? Something as simple as that is missing on this website.",Quarantine and isolation,,,
05/20-0352,"15 May, 2020 11:25",,Symptoms,FR,,Test corona virus,Feedback unclear,,,
05/20-0353,"15 May, 2020 11:56",,Symptoms,FR,Other reason,est il normal de se faire demander de baisser notre masque lorsqu'on rentre dans un marchand (SAQ chambly) soit disant pour mesure de sécurité,PPE,,,
05/20-0355,"15 May, 2020 12:32",,Prevention+risks,EN,Other reason,staying home from work to protect aged father. need to talk to someone,Workplace,,,
05/20-0357,"15 May, 2020 13:43",,Prevention+risks,EN,The answer I need is missing,"I have not travelled outside of Canada recently, have not been in contact with a confirmed case, and have no symptoms, but I still want to be tested because I have underlying health conditions. How can I get a test? If I can’t right now, when?",Testing,,,
05/20-0358,"15 May, 2020 14:18",,Symptoms,EN,The answer I need is missing,List of symptoms,Symptoms,,,
05/20-0360,"15 May, 2020 14:43",,Symptoms,EN,The answer I need is missing,Bloodclots,Symptoms,,,
05/20-0361,"15 May, 2020 14:53",,Prevention+risks,FR,The answer I need is missing,J'aimerais savoir si je peux allé au chalet de mon partenaire de pêche et si on peux covoituré pour s'y rendre ?,"Permissible activities,Camping",,,
05/20-0363,"15 May, 2020 15:43",,Symptoms,EN,,phone number to call covid 19 test results phone number for calls test results,Testing,,,
05/20-0364,"15 May, 2020 15:54",,Symptoms,EN,The information isn’t clear,"I want to know what the symptoms can be, not vague symptoms 'like a flu or cold"" - insufficient information",Symptoms,,,
05/20-0368,"15 May, 2020 16:43",,Prevention+risks,EN,The answer I need is missing,My question is regarding transportation to church. If people had been car pooling all along prior to the lockdown can they still travel to church together as do ppl who carpool to work?,"Permissible activities,Carpool",,,
05/20-0369,"15 May, 2020 16:45",,Prevention+risks,FR,The answer I need is missing,"J'ai une employée en nouvelle-écosse dont le conjoint reviendra lundi 18 mai de la colombie-britannique. Doit-il être placé en quarantaine ? Si oui, et qu'ils vivent ensemble et ne peuvent pas pratiquer l'isolement, devrait-elle venir au travail ?",Quarantine and isolation,,,
05/20-0370,"15 May, 2020 17:14",,Prevention+risks,EN,The answer I need is missing,Can I carpool to work as an essential healthcare worker? Need more clarification. Thanks,"Permissible activities,Carpool",,,
05/20-0371,"15 May, 2020 17:44",,Symptoms,EN,,"I was looking for the name of the virus that causes COVID-19, maybe SARS-CoV-2 ?",Terminology,,,
05/20-0374,"15 May, 2020 18:41",,Symptoms,EN,,My brother lives in Muskoka and has every symptom and has been sick for a number of days. Where can he go to get tested. Lives near Gravenhurst,Testing,,,
05/20-0375,"15 May, 2020 18:41",,Prevention+risks,EN,The answer I need is missing,"With things opening up, can a cleaning lady come into our home? We have heart disease & one finished chemo Aug. 2019. I am worried.",Vulnerable people,,,
05/20-0376,"15 May, 2020 18:56",,Prevention+risks,EN,,Le covoiturage es tu permis,"Permissible activities,Carpool",,,
05/20-0377,"15 May, 2020 19:23",,Symptoms,FR,The answer I need is missing,J'ai été très malade et je veux savoir comment on peut déterminer si c'était le covid ou non,Testing,,,
05/20-0378,"15 May, 2020 19:32",,Prevention+risks,EN,The answer I need is missing,seniors complex got help from grand kids over 3 days and got reminder of social distansing this is not a seniors home but an apartment complex partment,"Permissible activities,Family relationships",,,
05/20-0379,"15 May, 2020 20:07",,Symptoms,FR,,Je veux savoir les rassemblement sont permis,"Permissible activities,Social contact",,,
05/20-0380,"15 May, 2020 20:20",,Symptoms,EN,,5 days after being exposed to virus you get sick?,Course of illness,,,
05/20-0381,"15 May, 2020 20:28",,Prevention+risks,EN,The answer I need is missing,"going to Nb for the day, do I need to self isolate",Travel within Canada,,,
05/20-0382,"15 May, 2020 20:29",,Prevention+risks,EN,The answer I need is missing,Can a person with covid that has a fever take fever reducing medications?,Treatment,,,
05/20-0383,"15 May, 2020 21:05",,Symptoms,FR,The answer I need is missing,Combien de temps une personne peut-elle être infectée?,Contagious,,,
05/20-0384,"15 May, 2020 21:31",,Prevention+risks,EN,Other reason,Looking for the exact non medical mask suppose to be worn,PPE,,,
05/20-0385,"15 May, 2020 21:01",,Prevention+risks,FR,The answer I need is missing,Besoin de savoir pour les promenades en motos ce qui est permis ou non Nombre de motos ensemble,"Permissible activities,Motorcycle riding with others",,,
05/20-0386,"15 May, 2020 21:03",,Symptoms,FR,The answer I need is missing,Combien de temps une personne peut elle être infectée?,Contagious,,,
05/20-0387,"15 May, 2020 21:53",,Prevention+risks,EN,Other reason,"Can I get Virus from a person who had it, officially diagnosed. But has beat it. Has been symptom free for 4 days. But his last test, 4 days ago was still positive?",Contagious,,,
05/20-0389,"15 May, 2020 22:11",,Prevention+risks,EN,Other reason,Can I clean and reuse my blue work surgical mask And still be protected?,PPE,,,
05/20-0391,"15 May, 2020 22:37",,Symptoms,EN,The answer I need is missing,I would like to know how long symptoms of coronavirus last.,Symptoms,,,
05/20-0392,"15 May, 2020 23:04",,Symptoms,FR,The answer I need is missing,"Bonjour, j'ai le covid et ma période de confinement est lundi et j'ai encore des symptômes. Le rhume avec écoulement nasal. Que dois je faire si j'ai encore ce symptômes ? Passer un test ou attendre que ça passe avant de sorti?",Quarantine and isolation,,,
05/20-0394,"15 May, 2020 23:55",,Symptoms,FR,The answer I need is missing,Comment je peux me soyeux Du covid 19?,Treatment,,,
05/20-0395,"16 May, 2020 00:09",,Symptoms,EN,Other reason,enquiring about news report of red inflammation on single toe as a virus symptoms. True or false.,Symptoms,,,
05/20-0398,"16 May, 2020 00:31",,Prevention+risks,EN,The answer I need is missing,How many people can attend a wedding?,"Permissible activities,Wedding",,,
05/20-0399,"16 May, 2020 00:42",,Symptoms,EN,The answer I need is missing,They are saying there are other symptoms but none are listed here,Symptoms,,,
05/20-0400,"16 May, 2020 00:45",,Prevention+risks,EN,,Can I go any Bruce Trail for hiking?,"Permissible activities,Hiking",,,
05/20-0401,"16 May, 2020 01:01",,Prevention+risks,FR,,"POur les 70 ans et plus , quelles sont les consignes?",Vulnerable people,,,
05/20-0403,"16 May, 2020 01:46",,Symptoms,EN,The answer I need is missing,Fever temperature for someone infected.,Symptoms,,,
05/20-0404,"16 May, 2020 02:15",,Prevention+risks,FR,The answer I need is missing,déménagement,"Permissible activities,Moving",,,
05/20-0406,"16 May, 2020 02:42",,Symptoms,EN,The answer I need is missing,Information on how to reduce symptoms at home would be useful,Treatment,,,
05/20-0407,"16 May, 2020 02:55",,Prevention+risks,FR,The answer I need is missing,Je veux savoir le nombre de personnes en regroupement en deconfinement,"Permissible activities,Social contact",,,
05/20-0408,"16 May, 2020 03:00",,Prevention+risks,EN,,What if the air in my office is making Me sick,Workplace,,,
05/20-0412,"16 May, 2020 04:55",,Symptoms,EN,,Are cold sores an indication of Covid -19 ?,Symptoms,,,
05/20-0413,"16 May, 2020 05:02",,Symptoms,EN,,Is sneezing and itchy skin a symptom of the disease?,Symptoms,,,
05/20-0414,"16 May, 2020 05:49",,Symptoms,FR,The answer I need is missing,Tout les syndromes possible de la covid-19,Symptoms,,,
05/20-0417,"16 May, 2020 08:31",,Symptoms,EN,The information isn’t clear,What temperature is considered a fever?,Symptoms,,,
05/20-0418,"16 May, 2020 09:29",,Prevention+risks,EN,The answer I need is missing,Are there any updated on returning Canadians from abroad? What is the difference between isolation and self quarantime?,Quarantine and isolation,,,
05/20-0419,"16 May, 2020 10:06",,Symptoms,EN,Other reason,I want biological answers to my question,Feedback unclear,,,
05/20-0421,"16 May, 2020 10:46",,Prevention+risks,EN,Other reason,I was looking for a sign or notice I can print to tape on my front door so people know I am conserned on what is going on.,Feedback unclear,,,
05/20-0422,"16 May, 2020 12:28",,Prevention+risks,EN,,How to make a mask,PPE,,,
05/20-0424,"16 May, 2020 13:30",,Symptoms,EN,,what are the symptons,Symptoms,,,
05/20-0425,"16 May, 2020 13:35",,Prevention+risks,EN,The answer I need is missing,What % if deaths were purely due to Covid and what % had underlying health conditions?,Cases - deaths - recoveries,,,
05/20-0426,"16 May, 2020 14:46",,Prevention+risks,EN,The answer I need is missing,Is wearing nitrile gloves of benefit when shopping?,PPE,,,
05/20-0428,"16 May, 2020 15:10",,Symptoms,FR,The answer I need is missing,Cette nuit je me suis réveiller et j’étais toute en sueur .ces tu un smtome.,Symptoms,,,
05/20-0430,"16 May, 2020 15:51",,Symptoms,FR,The answer I need is missing,"La conjointe d'un travailleur a testé positif. Elle continue d'avoir des symptômes. Elle est finalement testé négatif. Le travailleur est en isolement pendant 14jrs à partir de quand ? A partir du test positif, des derniers symptômes ou résultat négatif ? Merci",Quarantine and isolation,,,
05/20-0431,"16 May, 2020 16:53",,Symptoms,EN,I’m not in the right place,I am looking for test results,Testing,,,
05/20-0432,"16 May, 2020 17:03",,Symptoms,EN,,I have a severe headache and do not get any relief with pain relievers could this be covid 19 related,Symptoms,,,
05/20-0434,"16 May, 2020 18:38",,Prevention+risks,EN,,How long do i leave grocery bags with food on the side not to be touched.,Avoid infection,,,
05/20-0435,"16 May, 2020 18:47",,Symptoms,FR,The answer I need is missing,Je voudrais savoir sa faire deux fois j’ai j’ai prestation urgence pis je pas ou faire remplir les choses à chaque mois .,Feedback unclear,,,
05/20-0436,"16 May, 2020 19:31",,Symptoms,EN,The information isn’t clear,"If sars and Mers are part of the carona virus, why was it that Canada and the rest of the world were so unprepared for it and didn’t really know how to treat it. Should China be held responsible for this ?",Government strategy,,,
05/20-0437,"16 May, 2020 20:10",,Symptoms,FR,Other reason,"J,ai mal a la gorge la meilleure recette",Symptoms,,,
05/20-0438,"16 May, 2020 20:15",,Prevention+risks,EN,,Can you self isolate in a home with other relatives?,Quarantine and isolation,,,
05/20-0439,"16 May, 2020 20:22",,Symptoms,EN,Something is broken or incorrect,"YOUR PAGE MOVES TOO FAST, DOES NOT GIVE ME A CHANCE TO READ, I'M NOT A SPEED READER",Feedback unclear,,,
05/20-0440,"16 May, 2020 20:27",,Prevention+risks,EN,Other reason,Im picking up my daughter who is coming in from New Zealand. We live in Gibsons BC. I can not make the last ferry home so we are staying overnight in Richmond. then going home on the next day to isolate. Do I have to isolate if Im picking her up.,Travel from outside Canada,,,
05/20-0442,"16 May, 2020 20:57",,Prevention+risks,EN,,to have a executive meeting how many people can be there inside.,"Permissible activities,Meeting",,,
05/20-0443,"16 May, 2020 21:47",,Symptoms,FR,,Je cherche les règlements concernant le coronavirus et les rassemblements,"Permissible activities,Social contact",,,
05/20-0444,"16 May, 2020 21:53",,Prevention+risks,EN,The information isn’t clear,"No definition of ""prolonged exposure"". No discussion of disease transmission indoors, e.g. an office. No discussion of how the virus spreads through air currents, e.g. HVAC equipment.",Transmission,,,
